,24-Hour Passes Purchased (midnight to 11:59 pm),3-Day Passes Purchased (midnight to 11:59 pm),Column 1,Date,Miles traveled today (midnight to 11:59 pm),Total Annual Members (All Time),Trips over the past 24-hours (midnight to 11:59pm)
0,4209,211,,7/1/18,120484,274813,45265
1,2702,241,,7/2/18,130122,275016,58633
2,2358,199,,7/3/18,113998,275157,54882
3,5662,250,,7/4/18,136287,275304,48368
4,3344,264,,7/5/18,133659,275487,59471
5,2650,189,,7/6/18,111660,275614,49504
6,7284,349,,7/7/18,173852,275793,60916
7,6667,310,,7/8/18,171826,275988,60486
8,3103,283,,7/9/18,153650,276203,70063
9,2999,227,,7/10/18,147441,276399,72501
10,3049,170,,7/11/18,163349,276553,73011
11,3520,231,,7/12/18,161182,276703,74857
12,3998,294,,7/13/18,156285,276858,72113
13,7241,334,,7/14/18,157266,277000,62556
14,5121,248,,7/15/18,132234,277133,52295
15,3101,278,,7/16/18,146307,277344,67072
16,1558,129,,7/17/18,97913,277466,48495
17,3578,247,,7/18/18,169481,277703,75706
18,3938,280,,7/19/18,141327,277891,78004
19,4590,275,,7/20/18,136511,278052,74539
20,6266,309,,7/21/18,114977,278195,53651
21,4316,244,,7/22/18,87253,278338,44284
22,2277,152,,7/23/18,88170,278458,53074
23,2957,162,,7/24/18,117924,278651,69754
24,1474,124,,7/25/18,66587,278742,42988
25,3321,252,,7/26/18,122885,278874,71065
26,2526,251,,7/27/18,82987,278993,49224
27,7004,361,,7/28/18,129505,279147,61543
28,7244,250,,7/29/18,137343,279321,63472
29,3490,333,,7/30/18,123639,279509,69512
30,3637,246,,7/31/18,134233,279702,76253
31,2673,185,,8/1/18,106881,279888,64467
32,2998,217,,8/2/18,118282,280110,69711
33,3145,247,,8/3/18,105765,280279,61962
34,5352,198,,8/4/18,104541,280498,51200
35,6289,309,,8/5/18,122656,280721,58379
36,3022,281,,8/6/18,112585,280922,65686
37,2640,201,,8/7/18,106678,281097,64351
38,2911,267,,8/8/18,120473,281275,70577
39,3379,238,,8/9/18,124150,281441,71976
40,4266,280,,8/10/18,123534,281572,69617
41,2994,141,,8/11/18,69505,281689,36607
42,6407,281,,8/12/18,125265,281881,59834
43,1563,82,,8/13/18,70501,281991,44273
44,2592,211,,8/14/18,107144,282169,63733
45,3565,266,,8/15/18,128453,282317,73124
46,3511,276,,8/16/18,123444,282471,70825
47,3563,232,,8/17/18,109405,282583,63316
48,6672,351,,8/18/18,125508,282795,57284
49,3926,155,,8/19/18,86651,282943,45874
50,3312,224,,8/20/18,118793,283162,67589
51,3683,257,,8/21/18,132261,283358,75214
52,3366,225,,8/22/18,125978,283543,72614
53,3975,331,,8/23/18,130310,283720,73877
54,4794,320,,8/24/18,132952,283884,72894
55,7535,345,,8/25/18,140537,284066,64683
56,6928,302,,8/26/18,132223,284268,60954
57,3350,242,,8/27/18,116967,284457,67630
58,2814,150,,8/28/18,110486,284667,66638
59,2766,171,,8/29/18,107006,284791,65903
60,3218,164,,8/30/18,113385,284938,67900
61,3186,180,,8/31/18,97818,285087,58922
62,6711,439,,9/1/18,116904,285245,54318
63,5562,292,,9/2/18,140923,285368,60828
64,6239,279,,9/3/18,117164,285609,55067
65,2793,215,,9/4/18,114264,285867,68655
66,2934,191,,9/5/18,124919,286102,74981
67,2678,207,,9/6/18,113123,286304,70264
68,3523,227,,9/7/18,127470,286475,74586
69,5442,270,,9/8/18,111254,286637,58284
70,895,16,,9/9/18,30544,286752,19950
71,463,26,,9/10/18,32472,286847,23949
72,2456,193,,9/11/18,109380,286985,66552
73,1650,115,,9/12/18,82748,287120,53241
74,2874,197,,9/13/18,123401,287262,74054
75,3623,298,,9/14/18,128288,287412,74330
76,7570,353,,9/15/18,149524,287622,71185
77,7410,270,,9/16/18,150281,287897,69515
78,2914,162,,9/17/18,118809,288137,71340
79,1433,74,,9/18/18,82768,288266,53077
80,3529,290,,9/19/18,129089,288450,74372
81,3130,235,,9/20/18,129385,288599,76803
82,3677,224,,9/21/18,128273,288719,74940
83,7511,298,,9/22/18,142121,289160,69133
84,4716,184,,9/23/18,104944,289370,55494
85,2615,289,,9/24/18,115888,289524,71631
86,506,65,,9/25/18,35795,289591,25430
87,2423,296,,9/26/18,110772,289698,68007
88,3044,399,,9/27/18,126480,289829,75370
89,1986,296,,9/28/18,90249,289911,57230
90,6960,906,,9/29/18,145920,290170,69321
91,6367,675,,9/30/18,139423,290467,66224
92,2618,307,,10/1/18,120257,290631,71387
93,2666,195,,10/2/18,122234,290788,73113
94,3141,199,,10/3/18,129720,290947,76769
95,2838,222,,10/4/18,116337,291073,70698
96,3979,254,,10/5/18,129597,291166,74744
97,5658,310,,10/6/18,110421,291298,57599
98,6936,277,,10/7/18,127033,291425,60753
99,2865,121,,10/8/18,95097,291549,58256
100,2846,207,,10/9/18,123973,291672,74251
101,3115,202,,10/10/18,132255,291765,77317
102,1323,59,,10/11/18,70173,291862,46862
103,3453,255,,10/12/18,113055,291962,67686
104,2430,125,,10/13/18,100652,292029,54747
105,4805,204,,10/14/18,103697,292158,54297
106,1958,95,,10/15/18,92219,292262,59181
107,2200,158,,10/16/18,104171,292370,66661
108,2341,134,,10/17/18,107762,292469,67868
109,1969,143,,10/18/18,94356,292519,61668
110,3012,192,,10/19/18,105730,292604,64735
111,5644,309,,10/20/18,109142,292711,56281
112,2488,100,,10/21/18,64764,292811,39192
113,1721,133,,10/22/18,88293,292899,57919
114,2356,181,,10/23/18,110293,292992,68086
115,1942,97,,10/24/18,98615,293077,64203
116,2003,146,,10/25/18,95827,293309,61637
117,2292,131,,10/26/18,92569,293508,59861
118,333,11,,10/27/18,17949,293542,13124
119,3134,154,,10/28/18,74540,293611,42502
120,1853,156,,10/29/18,92882,293722,60028
121,1957,141,,10/30/18,102834,293819,65545
122,2544,225,,10/31/18,114039,294007,68447
123,3288,245,,11/1/18,128502,294111,74260
124,2817,237,,11/2/18,105906,294186,63746
125,4200,199,,11/3/18,89639,294256,49127
126,5107,99,,11/4/18,98021,294329,50713
127,776,31,,11/5/18,47328,294396,33345
128,1186,29,,11/6/18,56313,294442,40271
129,2590,189,,11/7/18,112354,294527,67925
130,2191,146,,11/8/18,103621,294595,64441
131,1064,63,,11/9/18,54282,294647,36952
132,2649,132,,11/10/18,63740,294689,37809
133,2763,78,,11/11/18,64197,294744,36612
134,1707,79,,11/12/18,79338,294792,51341
135,751,27,,11/13/18,52453,294838,36957
136,935,30,,11/14/18,70932,294882,49621
137,407,24,,11/15/18,35594,294900,24948
138,761,48,,11/16/18,49576,294915,34447
139,2257,56,,11/17/18,61206,294951,37974
140,1916,45,,11/18/18,55093,294988,34390
141,1522,84,,11/19/18,83935,295037,54540
142,1259,37,,11/20/18,75746,295070,51910
143,1050,39,,11/21/18,58441,295112,40417
144,369,20,,11/22/18,12626,295200,8798
145,597,26,,11/23/18,23143,295439,16107
146,1137,41,,11/24/18,32011,295530,20087
147,2521,36,,11/25/18,60831,295688,34519
148,499,18,,11/26/18,42333,296251,29189
149,802,31,,11/27/18,74556,296351,49979
150,777,29,,11/28/18,69352,296405,48433
151,1054,51,,11/29/18,76715,296452,51468
152,1065,47,,11/30/18,67098,296497,46001
153,2256,37,,12/1/18,62304,296553,37989
154,554,11,,12/2/18,26501,296584,18418
155,1308,62,,12/3/18,85524,296664,53974
156,867,27,,12/4/18,71843,296708,49058
157,814,38,,12/5/18,67536,296753,46779
158,910,40,,12/6/18,66885,296798,46543
159,948,52,,12/7/18,63353,296843,43841
160,1271,46,,12/8/18,44552,296867,29909
161,1064,23,,12/9/18,40886,296897,27547
162,762,25,,12/10/18,62699,296938,43358
163,823,20,,12/11/18,68321,296974,47335
164,748,28,,12/12/18,68600,297005,47717
165,593,14,,12/13/18,57295,297042,40736
166,1137,44,,12/14/18,66633,297078,44775
167,1902,45,,12/15/18,57244,297119,36423
168,203,4,,12/16/18,13599,297131,9835
169,909,32,,12/17/18,66449,297173,45382
170,656,22,,12/18/18,58360,297205,41703
171,877,22,,12/19/18,63165,297238,44096
172,751,20,,12/20/18,48713,297269,34026
173,481,24,,12/21/18,34450,297290,23996
174,1088,25,,12/22/18,36653,297327,24870
175,1298,37,,12/23/18,35921,297355,22230
176,681,18,,12/24/18,27246,297387,18990
177,1080,38,,12/25/18,21483,297426,11177
178,1118,49,,12/26/18,39176,297487,25358
179,1510,51,,12/27/18,48943,297527,31169
180,334,25,,12/28/18,17576,297555,12039
181,2677,104,,12/29/18,54116,297622,29037
182,1562,51,,12/30/18,37741,297682,22536
183,962,31,,12/31/18,29794,297748,18936
184,2429,49,,1/1/19,44131,297823,22145
185,1062,36,,1/2/19,58975,297908,38249
186,969,31,,1/3/19,62500,297976,42181
187,1173,33,,1/4/19,65739,298017,44420
188,462,8,,1/5/19,24326,298048,17636
189,1711,31,,1/6/19,50481,298094,31764
190,514,18,,1/7/19,52310,298152,36928
191,654,23,,1/8/19,60469,298218,41728
